Cluichí Cúla 4	1	9	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5326843233001&pubId=1290862567001&videoId=5326833664001
CúlaClab	1	17	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5241303744001&pubId=1290862567001&videoId=5241290630001
CúlaClab	1	19	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5365781714001&pubId=1290862567001&videoId=5365773399001
CúlaClab	1	20	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5258130360001&pubId=1290862567001&videoId=5258125989001
CúlaClab	1	21	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5321602929001&pubId=1290862567001&videoId=5321583775001
CúlaClab	1	22	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5258149966001&pubId=1290862567001&videoId=5258123925001
CúlaClab	1	23	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5342960313001&pubId=1290862567001&videoId=5342950639001
CúlaClab	1	24	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5258151579001&pubId=1290862567001&videoId=5258134418001
CúlaClab	1	25	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5349322482001&pubId=1290862567001&videoId=5349299717001
CúlaClab	1	26	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5296432984001&pubId=1290862567001&videoId=5296383320001
CúlaClab	1	27	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5326833395001&pubId=1290862567001&videoId=5326826373001
CúlaClab	1	28	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5332553834001&pubId=1290862567001&videoId=5332551965001
CúlaClab	1	29	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5376511492001&pubId=1290862567001&videoId=5376497099001
CúlaClab	1	31	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5389239008001&pubId=1290862567001&videoId=5389238296001
CúlaClab	1	32	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5393796006001&pubId=1290862567001&videoId=5393784782001
CúlaClab	1	33	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5403181148001&pubId=1290862567001&videoId=5403177130001
CúlaClab	1	34	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5411146292001&pubId=1290862567001&videoId=5411138461001
CúlaClab	1	35	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5418992680001&pubId=1290862567001&videoId=5418985776001
CúlaClab	1	36	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5431672034001&pubId=1290862567001&videoId=5431662865001
CúlaClab	1	37	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5440860313001&pubId=1290862567001&videoId=5440846625001
CúlaClab	1	38	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5453211797001&pubId=1290862567001&videoId=5453201039001
Léirmheas na n-óg	1	1	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5389332466001&pubId=1290862567001&videoId=5389306263001
Léirmheas na n-óg	1	2	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5389336801001&pubId=1290862567001&videoId=5389316867001
Léirmheas na n-óg	1	3	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5389321492001&pubId=1290862567001&videoId=5389316293001
Léirmheas na n-óg	1	4	Cula4	http://c.brightcove.com/services/mobile/streaming/index/rendition.m3u8?assetId=5389325728001&pubId=1290862567001&videoId=5389306254001
