Ros na Rún	21	64	Drama	https://tgfour-a.akamaihd.net/rtmp_uds/1290862567001/201704/2818/1290862567001_5394186128001_5394150825001.mp4?pubId=1290862567001&videoId=5394150825001	https://tgfour-a.akamaihd.net/pd/1290862567001/201704/2818/1290862567001_7a7ffc17-1975-45fc-8337-ae5687b2d3da.vtt?pubId=1290862567001&videoId=5394150825001
Ros na Rún	21	63	Drama	https://tgfour-a.akamaihd.net/rtmp_uds/1290862567001/201704/2382/1290862567001_5393674265001_5393655287001.mp4?pubId=1290862567001&videoId=5393655287001	https://tgfour-a.akamaihd.net/pd/1290862567001/201704/2382/1290862567001_46c868ec-67be-40a6-8ed8-61947f6c8d41.vtt?pubId=1290862567001&videoId=5393655287001
Ros na Rún	21	62	Drama	http://c.brightcove.com/services/mobile/streaming/index/master.m3u8?videoId=5386526065001&pubId=1290862567001	https://tgfour-a.akamaihd.net/pd/1290862567001/201704/2493/1290862567001_313ab08d-e006-493f-a13a-5b57d31e9b32.vtt?pubId=1290862567001&videoId=5386526065001
Ros na Rún	21	61	Drama	http://c.brightcove.com/services/mobile/streaming/index/master.m3u8?videoId=5383510187001&pubId=1290862567001	https://tgfour-a.akamaihd.net/pd/1290862567001/201704/1708/1290862567001_274a8f1a-7550-4ff6-9881-3be82a39d809.vtt?pubId=1290862567001&videoId=5383510187001
Ros na Rún	21	60	Drama	http://c.brightcove.com/services/mobile/streaming/index/master.m3u8?videoId=5377683532001&pubId=1290862567001	https://tgfour-a.akamaihd.net/pd/1290862567001/201703/477/1290862567001_365d2480-0901-4ea9-9c3a-c5599ca8173a.vtt?pubId=1290862567001&videoId=5377683532001
Ros na Rún	21	59	Drama	http://c.brightcove.com/services/mobile/streaming/index/master.m3u8?videoId=5374967589001&pubId=1290862567001	https://tgfour-a.akamaihd.net/pd/1290862567001/201703/1190/1290862567001_f0ae84d0-58c5-490c-b9b8-a389234a1725.vtt?pubId=1290862567001&videoId=5374967589001
Ros na Rún	21	58	Drama	http://c.brightcove.com/services/mobile/streaming/index/master.m3u8?videoId=5368519358001&pubId=1290862567001	https://tgfour-a.akamaihd.net/pd/1290862567001/201703/2192/1290862567001_320c7d05-d11d-4810-a82c-65bf062555cd.vtt?pubId=1290862567001&videoId=5368519358001
Ros na Rún	21	57	Drama	http://c.brightcove.com/services/mobile/streaming/index/master.m3u8?videoId=5366012496001&pubId=1290862567001	https://tgfour-a.akamaihd.net/pd/1290862567001/201703/2976/1290862567001_ceb76c41-6f2b-4b27-b11f-7ab81360bfaf.vtt?pubId=1290862567001&videoId=5366012496001
Ros na Rún	21	56	Drama	http://c.brightcove.com/services/mobile/streaming/index/master.m3u8?videoId=5360699090001&pubId=1290862567001	https://tgfour-a.akamaihd.net/pd/1290862567001/201703/113/1290862567001_2d51bce1-7b8f-40c1-b869-f4e321e4c5db.vtt?pubId=1290862567001&videoId=5360699090001
Ros na Rún	21	55	Drama	http://c.brightcove.com/services/mobile/streaming/index/master.m3u8?videoId=5358708709001&pubId=1290862567001	https://tgfour-a.akamaihd.net/pd/1290862567001/201703/3370/1290862567001_62a73205-4859-479f-87f6-195297b0cb90.vtt?pubId=1290862567001&videoId=5358708709001
Béaloideas Beo	3	13	Faisneis	http://c.brightcove.com/services/mobile/streaming/index/master.m3u8?videoId=5383483632001&pubId=1290862567001	https://tgfour-a.akamaihd.net/pd/1290862567001/201704/2628/1290862567001_3f24070b-0034-4e1d-98c8-7fc94a1aaac3.vtt?pubId=1290862567001&videoId=5383483632001
Béaloideas Beo	3	12	Faisneis	http://c.brightcove.com/services/mobile/streaming/index/master.m3u8?videoId=5374997156001&pubId=1290862567001	https://tgfour-a.akamaihd.net/pd/1290862567001/201704/1054/1290862567001_eedc13df-1588-4736-8f79-82293427fb7d.vtt?pubId=1290862567001&videoId=5374997156001
Béaloideas Beo	3	11	Faisneis	http://c.brightcove.com/services/mobile/streaming/index/master.m3u8?videoId=5365972002001&pubId=1290862567001	https://tgfour-a.akamaihd.net/pd/1290862567001/201703/1424/1290862567001_9153f167-483a-471e-8b6c-1a364aae42cb.vtt?pubId=1290862567001&videoId=5365972002001
Béaloideas Beo	3	10	Faisneis	http://c.brightcove.com/services/mobile/streaming/index/master.m3u8?videoId=5358747814001&pubId=1290862567001	https://tgfour-a.akamaihd.net/pd/1290862567001/201703/2578/1290862567001_db63599f-530c-46dc-a130-3441630a7c9a.vtt?pubId=1290862567001&videoId=5358747814001
Garfield	4	26	Cula4	https://tgfour-a.akamaihd.net/rtmp_uds/1290862567001/201704/3079/1290862567001_5397504881001_5397450524001.mp4?pubId=1290862567001&videoId=5397450524001	https://tgfour-a.akamaihd.net/pd/1290862567001/201704/3079/1290862567001_08b0af76-158b-451c-ab97-15e334deba3c.vtt?pubId=1290862567001&videoId=5397450524001
Garfield	4	25	Cula4	https://tgfour-a.akamaihd.net/rtmp_uds/1290862567001/201704/2625/1290862567001_5397406677001_5397304565001.mp4?pubId=1290862567001&videoId=5397304565001	https://tgfour-a.akamaihd.net/pd/1290862567001/201704/2625/1290862567001_96cd7256-e1b7-46e6-b75e-cde3299c6f6a.vtt?pubId=1290862567001&videoId=5397304565001
Garfield	4	24	Cula4	https://tgfour-a.akamaihd.net/rtmp_uds/1290862567001/201704/2105/1290862567001_5397076491001_5397071564001.mp4?pubId=1290862567001&videoId=5397071564001	https://tgfour-a.akamaihd.net/pd/1290862567001/201704/2105/1290862567001_8038e020-7be0-4596-9156-9143a95d3c77.vtt?pubId=1290862567001&videoId=5397071564001
