b'abair	ˈ bˠ a bˠ ə ɾʲ
n-abair	ˈ n̻ˠ a bˠ ə ɾʲ
m'abair	ˈ mˠ a bˠ ə ɾʲ
d'abair	ˈ d̪ˠ a bˠ ə ɾʲ
b'ábalta	ˈ bˠ aː bˠ ə lˠ t̪ˠ ə
n-ábalta	ˈ n̻ˠ aː bˠ ə lˠ t̪ˠ ə
t-ab	t̪ˠ ə bˠ
b'ab	bˠ ə bˠ
n-ab	n̻ˠ ə bˠ
m'ab	mˠ ə bˠ
d'ab	d̪ˠ ə bˠ
b'aeraíocht	bˠ eː ˈ ɾˠ iˑə x t̪ˠ
n-aeraíocht	n̻ˠ eː ˈ ɾˠ iˑə x t̪ˠ
m'aeraíocht	mˠ eː ˈ ɾˠ iˑə x t̪ˠ
d'aeraíocht	d̪ˠ eː ˈ ɾˠ iˑə x t̪ˠ
b'aghaidh	ˈ bˠ ai ɟ
n-aghaidh	ˈ n̻ˠ ai ɟ
m'aghaidh	ˈ mˠ ai ɟ
d'aghaidh	ˈ d̪ˠ ai ɟ
b'aice	ˈ bˠ a c ə
n-aice	ˈ n̻ˠ a c ə
m'aice	ˈ mˠ a c ə
d'aice	ˈ d̪ˠ a c ə
b'aicisí	bˠ ˌ a c ə ˈ ʃ iː
n-aicisí	n̻ˠ ˌ a c ə ˈ ʃ iː
b'aicme	ˈ bˠ a c mʲ ə
n-aicme	ˈ n̻ˠ a c mʲ ə
m'aicme	ˈ mˠ a c mʲ ə
d'aicme	ˈ d̪ˠ a c mʲ ə
b'aidhm	ˈ bˠ ai mʲ
n-aidhm	ˈ n̻ˠ ai mʲ
m'aidhm	ˈ mˠ ai mʲ
d'aidhm	ˈ d̪ˠ ai mʲ
t-aighneas	ˈ t̪ˠ ai nʲ ə sˠ
b'aighneas	ˈ bˠ ai nʲ ə sˠ
n-aighneas	ˈ n̻ˠ ai nʲ ə sˠ
m'aighneas	ˈ mˠ ai nʲ ə sˠ
d'aighneas	ˈ d̪ˠ ai nʲ ə sˠ
b'aighnis	ˈ bˠ ai nʲ ə ʃ
n-aighnis	ˈ n̻ˠ ai nʲ ə ʃ
m'aighnis	ˈ mˠ ai nʲ ə ʃ
d'aighnis	ˈ d̪ˠ ai nʲ ə ʃ
b'aigne	ˈ bˠ a ɟ ə nʲ ə
n-aigne	ˈ n̻ˠ a ɟ ə nʲ ə
m'aigne	ˈ mˠ a ɟ ə nʲ ə
d'aigne	ˈ d̪ˠ a ɟ ə nʲ ə
b'áil	ˈ bˠ aː lʲ
n-áil	ˈ n̻ˠ aː lʲ
m'áil	ˈ mˠ aː lʲ
d'áil	ˈ d̪ˠ aː lʲ
mb'áil	ˈ mˠ aː lʲ
b'áilleacht	ˈ bˠ aː lʲ ə x t̪ˠ
n-áilleacht	ˈ n̻ˠ aː lʲ ə x t̪ˠ
m'áilleacht	ˈ mˠ aː lʲ ə x t̪ˠ
d'áilleacht	ˈ d̪ˠ aː lʲ ə x t̪ˠ
b'aimsir	ˈ bˠ ai mʲ ʃ ə ɾʲ
n-aimsir	ˈ n̻ˠ ai mʲ ʃ ə ɾʲ
m'aimsir	ˈ mˠ ai mʲ ʃ ə ɾʲ
d'aimsir	ˈ d̪ˠ ai mʲ ʃ ə ɾʲ
b'aimsire	ˈ bˠ ai mʲ ʃ ə ɾʲ ə
n-aimsire	ˈ n̻ˠ ai mʲ ʃ ə ɾʲ ə
m'aimsire	ˈ mˠ ai mʲ ʃ ə ɾʲ ə
d'aimsire	ˈ d̪ˠ ai mʲ ʃ ə ɾʲ ə
t-aingeal	ˈ t̪ˠ a ɲ ə lˠ
b'aingeal	ˈ bˠ a ɲ ə lˠ
n-aingeal	ˈ n̻ˠ a ɲ ə lˠ
m'aingeal	ˈ mˠ a ɲ ə lˠ
d'aingeal	ˈ d̪ˠ a ɲ ə lˠ
t-ainm	ˈ t̪ˠ a nʲ ə mʲ
b'ainm	ˈ bˠ a nʲ ə mʲ
n-ainm	ˈ n̻ˠ a nʲ ə mʲ
m'ainm	ˈ mˠ a nʲ ə mʲ
d'ainm	ˈ d̪ˠ a nʲ ə mʲ
b'airc	ˈ bˠ a ɾʲ c
n-airc	ˈ n̻ˠ a ɾʲ c
m'airc	ˈ mˠ a ɾʲ c
d'airc	ˈ d̪ˠ a ɾʲ c
b'airde	ˈ bˠ iː ɾˠ dʲ ə
n-airde	ˈ n̻ˠ iː ɾˠ dʲ ə
m'airde	ˈ mˠ iː ɾˠ dʲ ə
d'airde	ˈ d̪ˠ iː ɾˠ dʲ ə
b'airde	ˈ bˠ aː ɾˠ dʲ ə
n-airde	ˈ n̻ˠ aː ɾˠ dʲ ə
m'airde	ˈ mˠ aː ɾˠ dʲ ə
d'airde	ˈ d̪ˠ aː ɾˠ dʲ ə
b'air	bˠ e ɾʲ
n-air	n̻ˠ e ɾʲ
m'air	mˠ e ɾʲ
d'air	d̪ˠ e ɾʲ
t-airgead	ˈ t̪ˠ a ɾʲ ə ɟ ə d̪ˠ
b'airgead	ˈ bˠ a ɾʲ ə ɟ ə d̪ˠ
n-airgead	ˈ n̻ˠ a ɾʲ ə ɟ ə d̪ˠ
m'airgead	ˈ mˠ a ɾʲ ə ɟ ə d̪ˠ
d'airgead	ˈ d̪ˠ a ɾʲ ə ɟ ə d̪ˠ
b'airigh	ˈ bˠ a ɾʲ i ɟ
n-airigh	ˈ n̻ˠ a ɾʲ i ɟ
d'airigh	ˈ d̪ˠ a ɾʲ i ɟ
n-airíodar	n̻ˠ a ˈ ɾʲ iˑə d̪ˠ ə ɾˠ
d'airíodar	d̪ˠ a ˈ ɾʲ iˑə d̪ˠ ə ɾˠ
b'ais	ˈ bˠ a ʃ
n-ais	ˈ n̻ˠ a ʃ
m'ais	ˈ mˠ a ʃ
d'ais	ˈ d̪ˠ a ʃ
b'ait	ˈ bˠ a tʲ
n-ait	ˈ n̻ˠ a tʲ
m'ait	ˈ mˠ a tʲ
d'ait	ˈ d̪ˠ a tʲ
b'áit	ˈ bˠ aː tʲ
n-áit	ˈ n̻ˠ aː tʲ
m'áit	ˈ mˠ aː tʲ
d'áit	ˈ d̪ˠ aː tʲ
b'aithne	ˈ bˠ a h ə nʲ ə
n-aithne	ˈ n̻ˠ a h ə nʲ ə
m'aithne	ˈ mˠ a h ə nʲ ə
d'aithne	ˈ d̪ˠ a h ə nʲ ə
b'allta	ˈ bˠ au lˠ t̪ˠ ə
n-allta	ˈ n̻ˠ au lˠ t̪ˠ ə
b'alltacht	ˈ bˠ au lˠ t̪ˠ ə x t̪ˠ
n-alltacht	ˈ n̻ˠ au lˠ t̪ˠ ə x t̪ˠ
m'alltacht	ˈ mˠ au lˠ t̪ˠ ə x t̪ˠ
d'alltacht	ˈ d̪ˠ au lˠ t̪ˠ ə x t̪ˠ
t-amas	ˈ t̪ˠ a mˠ ə sˠ
b'amas	ˈ bˠ a mˠ ə sˠ
n-amas	ˈ n̻ˠ a mˠ ə sˠ
m'amas	ˈ mˠ a mˠ ə sˠ
d'amas	ˈ d̪ˠ a mˠ ə sˠ
b'amháin	bˠ ə ˈ vˠ aː nʲ
n-amháin	n̻ˠ ə ˈ vˠ aː nʲ
b'amhlaidh	ˈ bˠ au lˠ i ɟ
t-amhras	ˈ t̪ˠ au ɾˠ ə sˠ
b'amhras	ˈ bˠ au ɾˠ ə sˠ
n-amhras	ˈ n̻ˠ au ɾˠ ə sˠ
m'amhras	ˈ mˠ au ɾˠ ə sˠ
d'amhras	ˈ d̪ˠ au ɾˠ ə sˠ
t-amú	t̪ˠ ə ˈ mˠ uː
b'amú	bˠ ə ˈ mˠ uː
n-amú	n̻ˠ ə ˈ mˠ uː
m'amú	mˠ ə ˈ mˠ uː
d'amú	d̪ˠ ə ˈ mˠ uː
b'ana	ˈ bˠ a nˠ ə
n-ana	ˈ n̻ˠ a nˠ ə
m'ana	ˈ mˠ a nˠ ə
d'ana	ˈ d̪ˠ a nˠ ə
b'anacair	ˈ bˠ a nˠ ə k ə ɾʲ
n-anacair	ˈ n̻ˠ a nˠ ə k ə ɾʲ
m'anacair	ˈ mˠ a nˠ ə k ə ɾʲ
d'anacair	ˈ d̪ˠ a nˠ ə k ə ɾʲ
b'anama	ˈ bˠ a ˈ nˠ a mˠ ə
n-anama	ˈ n̻ˠ a ˈ nˠ a mˠ ə
m'anama	ˈ mˠ a ˈ nˠ a mˠ ə
d'anama	ˈ d̪ˠ a ˈ nˠ a mˠ ə
t-anam	ˈ t̪ˠ a nˠ ə mˠ
b'anam	ˈ bˠ a nˠ ə mˠ
n-anam	ˈ n̻ˠ a nˠ ə mˠ
m'anam	ˈ mˠ a nˠ ə mˠ
d'anam	ˈ d̪ˠ a nˠ ə mˠ
t-aon	ˈ t̪ˠ eː nˠ
b'aon	ˈ bˠ eː nˠ
n-aon	ˈ n̻ˠ eː nˠ
m'aon	ˈ mˠ eː nˠ
d'aon	ˈ d̪ˠ eː nˠ
t-aos	ˈ t̪ˠ eː sˠ
b'aos	ˈ bˠ eː sˠ
n-aos	ˈ n̻ˠ eː sˠ
m'aos	ˈ mˠ eː sˠ
d'aos	ˈ d̪ˠ eː sˠ
t-ár	ˈ t̪ˠ aː ɾˠ
b'ár	ˈ bˠ aː ɾˠ
n-ár	ˈ n̻ˠ aː ɾˠ
m'ár	ˈ mˠ aː ɾˠ
d'ár	ˈ d̪ˠ aː ɾˠ
b'aráin	bˠ ə ˈ ɾˠ aː nʲ
n-aráin	n̻ˠ ə ˈ ɾˠ aː nʲ
m'aráin	mˠ ə ˈ ɾˠ aː nʲ
d'aráin	d̪ˠ ə ˈ ɾˠ aː nʲ
t-arán	t̪ˠ ə ˈ ɾˠ aː nˠ
b'arán	bˠ ə ˈ ɾˠ aː nˠ
n-arán	n̻ˠ ə ˈ ɾˠ aː nˠ
m'arán	mˠ ə ˈ ɾˠ aː nˠ
d'arán	d̪ˠ ə ˈ ɾˠ aː nˠ
b'arbhair	ˈ bˠ a ɾˠ ə vˠ ə ɾʲ
n-arbhair	ˈ n̻ˠ a ɾˠ ə vˠ ə ɾʲ
m'arbhair	ˈ mˠ a ɾˠ ə vˠ ə ɾʲ
d'arbhair	ˈ d̪ˠ a ɾˠ ə vˠ ə ɾʲ
t-ar	t̪ˠ ə ɾˠ
b'ar	bˠ ə ɾˠ
n-ar	n̻ˠ ə ɾˠ
m'ar	mˠ ə ɾˠ
d'ar	d̪ˠ ə ɾˠ
b'arm	ˈ bˠ a ɾˠ ə mˠ
m'arm	ˈ mˠ a ɾˠ ə mˠ
d'arm	ˈ d̪ˠ a ɾˠ ə mˠ
t-armáil	t̪ˠ ˌ a ɾˠ ə ˈ mˠ aː lʲ
b'armáil	bˠ ˌ a ɾˠ ə ˈ mˠ aː lʲ
n-armáil	n̻ˠ ˌ a ɾˠ ə ˈ mˠ aː lʲ
m'armáil	mˠ ˌ a ɾˠ ə ˈ mˠ aː lʲ
d'armáil	d̪ˠ ˌ a ɾˠ ə ˈ mˠ aː lʲ
n-arsa	ˈ n̻ˠ ə ɾˠ sˠ ə
n-atá	n̻ˠ ə ˈ t̪ˠ aː
d'atá	d̪ˠ ə ˈ t̪ˠ aː
t-athair	ˈ t̪ˠ a h ə ɾʲ
b'athair	ˈ bˠ a h ə ɾʲ
n-athair	ˈ n̻ˠ a h ə ɾʲ
m'athair	ˈ mˠ a h ə ɾʲ
d'athair	ˈ d̪ˠ a h ə ɾʲ
b'athar	ˈ bˠ a h ə ɾˠ
n-athar	ˈ n̻ˠ a h ə ɾˠ
m'athar	ˈ mˠ a h ə ɾˠ
d'athar	ˈ d̪ˠ a h ə ɾˠ
t-áthas	ˈ t̪ˠ aː h ə sˠ
b'áthas	ˈ bˠ aː h ə sˠ
n-áthas	ˈ n̻ˠ aː h ə sˠ
m'áthas	ˈ mˠ aː h ə sˠ
d'áthas	ˈ d̪ˠ aː h ə sˠ
t-aturnae	t̪ˠ ˌ a t̪ˠ ə ɾˠ ˈ nˠ eː
b'aturnae	bˠ ˌ a t̪ˠ ə ɾˠ ˈ nˠ eː
n-aturnae	n̻ˠ ˌ a t̪ˠ ə ɾˠ ˈ nˠ eː
m'aturnae	mˠ ˌ a t̪ˠ ə ɾˠ ˈ nˠ eː
d'aturnae	d̪ˠ ˌ a t̪ˠ ə ɾˠ ˈ nˠ eː
b'éadaigh	ˈ bʲ iˑə d̪ˠ i ɟ
n-éadaigh	ˈ nʲ iˑə d̪ˠ i ɟ
m'éadaigh	ˈ mʲ iˑə d̪ˠ i ɟ
d'éadaigh	ˈ dʲ iˑə d̪ˠ i ɟ
b'éadain	ˈ bʲ eː d̪ˠ ə nʲ
n-éadain	ˈ nʲ eː d̪ˠ ə nʲ
m'éadain	ˈ mʲ eː d̪ˠ ə nʲ
d'éadain	ˈ dʲ eː d̪ˠ ə nʲ
t-éad	ˈ tʲ eː d̪ˠ
b'éad	ˈ bʲ eː d̪ˠ
n-éad	ˈ nʲ eː d̪ˠ
m'éad	ˈ mʲ eː d̪ˠ
d'éad	ˈ dʲ eː d̪ˠ
b'eagal	ˈ bʲ a ɡ ə lˠ
n-eagal	ˈ nʲ a ɡ ə lˠ
b'eagla	ˈ bʲ a ɡ lˠ ə
n-eagla	ˈ nʲ a ɡ lˠ ə
m'eagla	ˈ mʲ a ɡ lˠ ə
d'eagla	ˈ dʲ a ɡ lˠ ə
b'éagóir	bʲ eː ˈ ɡ oː ɾʲ
n-éagóir	nʲ eː ˈ ɡ oː ɾʲ
m'éagóir	mʲ eː ˈ ɡ oː ɾʲ
d'éagóir	dʲ eː ˈ ɡ oː ɾʲ
b'éagóra	bʲ eː ˈ ɡ oː ɾˠ ə
n-éagóra	nʲ eː ˈ ɡ oː ɾˠ ə
m'éagóra	mʲ eː ˈ ɡ oː ɾˠ ə
d'éagóra	dʲ eː ˈ ɡ oː ɾˠ ə
t-éalú	tʲ eː ˈ lˠ uː
