atá	athá	M	a . 1  h aː
atánn	athánn	M	a . 1  aː nˠ
léi	léithe	MU	1  lʲ eː . 0  h ə
arís	aríst	M	ə . 1  ɾʲ iː ʃ tʲ
di	díthe	U	dʲ iː . 0  h ə
chonaic	thanaic	U	h a . 0  n̻ˠ ə c
dearmad	dearúd	M	dʲ a . 1  ɾˠ uː d̪ˠ
zónáilte	zónáilthe	M	zˠ oː . 1  nˠ aː lʲ . 0  h ə
déan	déin	M	1  dʲ i nʲ
buíoch	baoch	M	1  bˠ eː x
éigin	éigint	M	1  eː . 0  ɟ ə nʲ tʲ
faoileán	faoileog	U	  fˠ iː lʲ o ɡ
faoi	fá	U	1  fˠ aː
faoin	fán	U	1  fˠ aː n̻ˠ
faoi	fé	M	1  fʲ eː
faoin	fén	M	1  fʲ eː nʲ
nóiméad	móiméad	C	1  mˠ oː . 0  mʲ eː d̪ˠ
nóiméad	nóimint	M	1  nˠ oː . 0  mʲ ə nʲ tʲ
geata	geafta	U	ɟ a fˠ t̪ˠ ə
iníon	nighean	U	nʲ iː ə n̻ˠ
bóthar	bór	C	1  bˠ oː ɾˠ
