á	aː
ceart	ˈ c a ɾˠ t̪ˠ
cearta	ˈ c a ɾˠ t̪ˠ ə
ceartaigh	ˈ c a ɾˠ t̪ˠ iː
ceartaithe	ˈ c a ɾˠ t̪ˠ ə h ə
ceartchreidmheach	ˈ c a ɾˠ t̪ˠ ç ɾʲ e dʲ vʲ a h
ceartlár	ˈ c a ɾˠ t̪ˠ l̻ˠ aː ɾˠ
ceartú	ˈ c a ɾˠ t̪ˠ uː
ceartúchán	ˈ c a ɾˠ t̪ˠ u h a n̻ˠ
céas	ˈ c eː sˠ
céasadh	ˈ c eː sˠ uː
céasla	ˈ c eː sˠ l̻ˠ ə
céaslaigh	ˈ c eː sˠ l̻ˠ iː
céaslóireacht	
céasta	ˈ c eː sˠ t̪ˠ ə
céatadáin	ˈ c eː t̪ˠ ə d̪ˠ aː nʲ
céatadán	ˈ c eː t̪ˠ ə d̪ˠ a n̻ˠ
céatadánach	ˈ c eː t̪ˠ ə d̪ˠ aː n̻ˠ ə h
ceathair	ˈ c a h ə ɾʲ
ceathairdéagú	ˈ c a h ə ɾˠ dʲ eː ɡ uː
ceathairéad	ˈ c a h ə ɾʲ e d̪ˠ
ceathar	ˈ c a h ə ɾˠ
Ceatharlach	ˈ c a h ə ɾˠ l̻ˠ ə h
ceathrach	ˈ c a ɾ̥ˠ ə h
ceathracha	ˈ c a h ɾˠ a h ə
ceathrachadú	ˈ c a ɾ̥ˠ ə h ə d̪ˠ uː
ceathrair	ˈ c a ɾ̥ˠ ə ɾʲ
ceathrar	ˈ c a h ɾˠ ə ɾˠ
ceathrú	ˈ c a h ɾˠ uː
ceathrún	ˈ c a ɾ̥ˠ uː n̻ˠ
ceathrúna	ˈ c a ɾ̥ˠ uː n̻ˠ ə
Ceatsuach	ˈ c a t̪ˠ uˑə h
céide	ˈ c eː dʲ ə
ceil	ˈ c e lʲ
céile	ˈ c eː lʲ ə
ceiliúir	ˈ c e lʲ u ɾʲ
ceiliúr	ˈ c e lʲ u ɾˠ
céillí	ˈ c eː l̻ʲ iː
ceilte	ˈ c e lʲ tʲ ə
ceilteach	ˈ c e l̻ʲ tʲ a h
Ceiltis	ˈ c e l̻ʲ tʲ ə ʃ
Ceiltise	ˈ c e lʲ tʲ ə ʃ ə
ceilvin	ˈ c e lʲ vʲ ə nʲ
céim	ˈ c eː mʲ
céimchiorcal	ˈ c eː mʲ ç ə ɾˠ k ə l̻ˠ
céime	ˈ c eː mʲ ə
céimeanna	ˈ c eː mʲ ə n̻ˠ ə
céimí	ˈ c eː mʲ iː
ceimic	ˈ c e mʲ ə c
ceimiceach	ˈ c e mʲ ə c a h
ceimiceán	ˈ c e mʲ ə c a n̻ˠ
céimíocht	ˈ c eː mʲ iː a x t̪ˠ
ceimiteiripe	ˈ c e mʲ ə tʲ ə ɾʲ ə pʲ ə
céimneach	ˈ c eː mʲ nʲ a h
céimnithe	ˈ c eː mʲ nʲ ə h ə
céimnitheach	ˈ c eː mʲ nʲ ə h ə h
céimseata	ˈ c eː mʲ ʃ ə t̪ˠ ə
Céiniach	ˈ c eː nʲ iˑə h
ceirbheacs	ˈ c e ɾʲ ə vʲ ə k sˠ
ceirbheacsach	ˈ c e ɾʲ ə vʲ ə k sˠ ə h
ceird	ˈ c eː ɾˠ dʲ
ceirmeach	ˈ c e ɾʲ ə mʲ ə h
ceirmeachta	ˈ c e ɾʲ ə mʲ ə ɾˠ t̪ˠ ə
ceirnín	ˈ c eː ɾˠ nʲ i nʲ
ceirníní	ˈ c e ɾʲ nʲ iː nʲ iː
ceirt	ˈ c e ɾˠ tʲ
ceirtín	ˈ c e ɾˠ tʲ iː nʲ
ceirtlín	ˈ c e ɾˠ tʲ lʲ i nʲ
ceirtlis	ˈ c e ɾˠ tʲ lʲ ə ʃ
ceirtlise	ˈ c e ɾˠ tʲ lʲ ə ʃ ə
ceist	ˈ c e ʃ tʲ
ceiste	ˈ c e ʃ tʲ ə
ceisteanna	ˈ c e ʃ tʲ ə n̻ˠ ə
ceistigh	ˈ c e ʃ tʲ iː
ceistiú	ˈ c e ʃ tʲ uː
ceistneoir	
ceithre	ˈ c e ɾʲ ə
cén	ˈ c eː n̻ˠ
cent	ˈ c e nʲ tʲ
ceo	ˈ c oː
ceoil	ˈ k oː l̻ʲ
ceol	ˈ c oː l̻ˠ
ceoláras	ˈ c oː ˈ l̻ˠ aː ɾˠ ə sˠ
ceolbhosca	ˈ c oː l̻ˠ ˈ vˠ o k sˠ ə
ceolchoirm	ˈ c oː l̻ˠ ˈ x o ɾʲ ə mʲ
ceoldráma	ˈ c oː l̻ˠ ˈ d̪ˠ ɾˠ aː mˠ ə
ceoldrámaíocht	ˈ c oː l̻ˠ ˈ d̪ˠ ɾˠ aː mˠ iː a x t̪ˠ
ceoldrámaíochta	ˈ c oː l̻ˠ ˈ d̪ˠ ɾˠ aː mˠ iˑə ɾˠ t̪ˠ ə
ceolfhoireann	ˈ c oː l̻ˠ ˈ o ɾʲ ə n̻ˠ
ceolfhoirne	ˈ c oː ˈ l̻ˠ o ɾʲ nʲ ə
ceolfhoirneach	ˈ c oː l̻ˠ ˈ o ɾˠ nʲ a h
ceolmhaireacht	ˈ c oː l̻ˠ vˠ ə ɾʲ a x t̪ˠ
ceolmhar	ˈ c oː l̻ˠ vˠ ə ɾˠ
ceoltóir	ˈ c oː l̻ˠ t̪ˠ o ɾʲ
ceoltóirí	ˈ c oː l̻ˠ ˈ t̪ˠ oː ɾʲ iː
cha	ˈ x a
chabhrach	ˈ x au ɾˠ a h
chábla	ˈ x aː bˠ l̻ˠ ə
cháin	ˈ x aː nʲ
Chainnigh	ˈ x a n̻ʲ ə
Cháisc	ˈ x aː ʃ c
Chaismír	ˈ x a ʃ mʲ i ɾʲ
chaite	ˈ x a tʲ ə
Chambóid	
champála	ˈ x a mˠ pˠ aː l̻ˠ ə
chánach	ˈ x aː n̻ˠ ə h
chaoi	ˈ x iː
chapall	ˈ x a pˠ ə l̻ˠ
charbóin	
charranna	ˈ x a ɾˠ ə n̻ˠ ə
charthanachta	ˈ x a ɾˠ h ə n̻ˠ ə ɾˠ t̪ˠ ə
Chasacstáin	ˈ x a sˠ ə k sˠ t̪ˠ aː nʲ
Chásca	ˈ x aː sˠ k ə
chéad	ˈ ç eː d̪ˠ
Chéad	ˈ ç eː d̪ˠ
Chéadaoin	ˈ ç eː d̪ˠ i nʲ
chéadchéime	ˈ ç eː d̪ˠ ˈ ç eː mʲ ə
chéaduair	ˈ ç eː d̪ˠ ua ɾʲ
cheana	ˈ ç a n̻ˠ ə
cheann	ˈ ç i n̻ˠ
chéanna	ˈ ç eː ɾˠ n̻ˠ ə
cheannach	ˈ ç a n̻ˠ a h
cheannródaí	
cheantair	ˈ ç a n̻ˠ t̪ˠ ə iː
cheart	ˈ ç a ɾˠ t̪ˠ
Chéasta	ˈ ç eː sˠ t̪ˠ ə
chéile	ˈ ç e lʲ ə
cheilt	ˈ ç e l̻ʲ tʲ
cheimiceach	ˈ ç e mʲ ə c a h
Chéinia	ˈ ç eː nʲ iˑə
cheoil	ˈ ç oː l̻ʲ
chíche	ˈ ç iː ç ə
chinn	ˈ ç i n̻ʲ
Chinn	ˈ ç i n̻ʲ
chíos	ˈ ç iː sˠ
Chipir	ˈ ç i pʲ ə ɾʲ
Chirgeastáin	ˈ ç i ɾʲ ə ɟ ə sˠ t̪ˠ aː nʲ
chispheile	ˈ ç i sˠ pʲ h ə lʲ ə
chláraithe	ˈ x l̻ˠ aː ɾˠ ə h ə
chlé	ˈ ç lʲ eː
chleamhnais	ˈ ç lʲ au n̻ˠ ə ʃ
chloig	ˈ x l̻ˠ iː ɟ
chlóis	ˈ x l̻ˠ oː ˈ i sˠ
chluaise	ˈ x l̻ˠ uˑə ʃ ə
chlúdach	ˈ x l̻ˠ uː d̪ˠ a h
chnis	ˈ ç nʲ i ʃ
Chogadh	ˈ x o ɡ uː
chogaidh	ˈ x o ɡ iː
choíche	ˈ x iː hʲ ə
choim	ˈ x o mʲ
chóimeála	ˈ x oː mʲ aː l̻ˠ ə
choimhdeachta	ˈ x o vʲ dʲ ə ɾˠ t̪ˠ ə
choinne	ˈ x o n̻ʲ ə
choinneáil	ˈ x o n̻ʲ a lʲ
choinníoll	ˈ x o n̻ʲ i l̻ˠ
chóir	ˈ x oː ɾʲ
Chóiré	ˈ x oː ɾʲ eː
chois	ˈ x o ʃ
cholainne	ˈ x o l̻ˠ ə n̻ʲ ə
Cholóim	
chomh	ˈ x oː
chomhair	ˈ x oː ɾʲ
chomhraic	ˈ x oː ɾˠ ə c
Chomóra	
chónaithe	ˈ x oː n̻ˠ ə h ə
Chonnacht	ˈ x o n̻ˠ ə ɾˠ t̪ˠ
Chontae	ˈ x o n̻ˠ t̪ˠ eː
chor	ˈ x a ɾˠ
chosach	ˈ x o sˠ ə h
Chosaiv	ˈ x o sˠ ə vʲ
chosmhuintir	ˈ x o sˠ vˠ i tʲ ə ɾʲ
chré	ˈ ç ɾʲ eː
chreidiúna	ˈ ç ɾʲ e dʲ uː n̻ˠ ə
chreidmheasa	ˈ ç ɾʲ e dʲ vʲ ə sˠ ə
Chréit	ˈ ç ɾʲ eː tʲ
chríche	ˈ ç ɾʲ iː ç ə
chríochnú	ˈ ç ɾʲ iː h n̻ˠ uː
chríonna	ˈ ç ɾʲ iː n̻ˠ ə
Chríostaíocht	ˈ ç ɾʲ iː sˠ t̪ˠ iː a x t̪ˠ
Chrócaigh	ˈ x ɾˠ oː k iː
chroí	ˈ x ɾˠ iː
chroíoch	ˈ x ɾˠ iː ˈ a h
Chróit	ˈ x ɾˠ oː tʲ
chrua	ˈ x ɾˠ ua
chruinne	ˈ x ɾˠ i n̻ʲ ə
chruinnithe	ˈ x ɾˠ iː ˈ n̻ʲ i hʲ ə
chuaigh	ˈ x ua j
chuarda	ˈ x uˑə ɾˠ d̪ˠ ə
chuardach	ˈ x ua ɾˠ d̪ˠ a h
chuid	ˈ x i dʲ
chuidithe	ˈ x i dʲ ə h ə
chuig	ˈ h i ɟ
chuige	ˈ h i ɟ ə
chúil	ˈ x uː lʲ
chuimhne	ˈ x i vʲ nʲ ə
chúirt	ˈ x uː ɾˠ tʲ
chuisniúcháin	ˈ x i ʃ nʲ uː h aː nʲ
chuma	ˈ x u mˠ ə
chun	ˈ x u n̻ˠ
chúnta	ˈ x uː n̻ˠ t̪ˠ ə
chúntach	ˈ x uː n̻ˠ t̪ˠ a h
chur	ˈ x u ɾˠ
churlála	ˈ x u ɾˠ l̻ˠ aː l̻ˠ ə
chustaim	ˈ x u sˠ t̪ˠ ə mʲ
ciall	ˈ c ia l̻ˠ
ciallaigh	ˈ c ia l̻ˠ iː
ciallmhar	ˈ c ia l̻ˠ vˠ ə ɾˠ
cian	ˈ c ia n̻ˠ
cianda	ˈ c ia n̻ˠ d̪ˠ ə
cianoibrí	ˈ c iˑə ˈ n̻ˠ o bʲ ɾʲ iː
cianoideachas	ˈ c iˑə ˈ n̻ˠ o dʲ a h ə sˠ
cianrialaithe	ˈ c iˑə n̻ˠ ˈ ɾˠ iˑə l̻ˠ ə h ə
cianrialtán	ˈ c iˑə n̻ˠ ˈ ɾˠ ia l̻ˠ t̪ˠ a n̻ˠ
cianrialú	ˈ c iˑə n̻ˠ ˈ ɾˠ ia l̻ˠ uː
cianrialúcháin	ˈ c iˑə n̻ˠ ˈ ɾˠ iˑə l̻ˠ uː h aː nʲ
cianrialúchán	ˈ c iˑə n̻ˠ ˈ ɾˠ iˑə l̻ˠ uː h aː n̻ˠ
cianta	ˈ c iˑə n̻ˠ t̪ˠ ə
ciap	ˈ c ia pˠ
ciapach	ˈ c ia pˠ a h
ciapadh	ˈ c ia pˠ uː
ciardhubh	ˈ c ia ɾˠ ɣ u vˠ
ciaróg	ˈ c ia ɾˠ o ɡ
Ciarraí	ˈ c iˑə ɾˠ iː
ciarsúr	ˈ c ia ɾˠ sˠ u ɾˠ
cibé	ˈ c i bʲ iː
cibeal	ˈ c i bʲ ə l̻ˠ
cibear	ˈ c i bʲ ə ɾˠ
cibearspás	ˈ c i bʲ ə ɾˠ sˠ pˠ aː sˠ
cibir	ˈ c i bʲ ə ɾʲ
cic	ˈ c i c
cic-chlár	ˈ c i c ˈ x l̻ˠ aː ɾˠ
ciceáil	ˈ c i c aː lʲ
cíche	ˈ c iː ç ə
ciclipéid	ˈ c i c lʲ ə pʲ e dʲ
cigilteach	ˈ c i ɟ ə l̻ʲ tʲ a h
cigire	ˈ c i ɟ ə ɾʲ ə
cigireacht	ˈ c i ɟ ə ɾʲ a x t̪ˠ
cigireachta	ˈ c i ɟ ə ɾʲ ə ɾˠ t̪ˠ ə
cileagram	ˈ c i lʲ ə ɡ ɾˠ a mˠ
cileavatuair	ˈ c i lʲ ə vʲ ə t̪ˠ uˑə ɾʲ
ciliméadar	ˈ c i lʲ ə mʲ e d̪ˠ ə ɾˠ
cill	ˈ c i l̻ʲ
Cill	ˈ c i l̻ʲ
cille	ˈ c i l̻ʲ ə
cillí	ˈ c i l̻ʲ iː
cillín	ˈ c i l̻ʲ i nʲ
cime	ˈ c i mʲ ə
Ciméarach	ˈ c i mʲ eː ɾˠ ə h
cimigh	ˈ c i mʲ ə
cín	ˈ c iː nʲ
Cincíse	ˈ c i nʲ c iː ʃ ə
Cincíseach	ˈ c i ɲ c i ʃ a h
cine	ˈ c i nʲ ə
cineachadh	ˈ c i nʲ ə ˈ a h uː
cineál	ˈ c i nʲ a l̻ˠ
cineálta	ˈ c i nʲ a l̻ˠ t̪ˠ ə
cineáltas	ˈ c i nʲ a l̻ˠ t̪ˠ ə sˠ
cineama	ˈ c i nʲ ə mˠ ə
cineamatach	ˈ c i nʲ ə ˈ a mˠ ə t̪ˠ ə h
cinedheighilt	ˈ c i nʲ ə j eː l̻ʲ tʲ
cinéiteach	ˈ c i nʲ eː tʲ ə h
ciníoch	ˈ c i nʲ iː a h
ciníochaí	ˈ c i nʲ iˑə h iː
ciníochais	ˈ c i nʲ iˑə h ə ʃ
ciníochas	ˈ c i nʲ iː a h ə sˠ
ciniúil	ˈ c i nʲ uː lʲ
cinn	ˈ c i n̻ʲ
cinneadh	ˈ c i n̻ʲ uː
cinneadhtheoiric	
cinnire	ˈ c i n̻ʲ ə ɾʲ ə
cinniúint	ˈ c i n̻ʲ u n̻ʲ tʲ
cinnte	ˈ c i n̻ʲ tʲ ə
cinnteacht	ˈ c i n̻ʲ tʲ a x t̪ˠ
cinnteoireacht	
cinnteoireachta	
cinntigh	ˈ c i n̻ʲ tʲ iː
cíoch	ˈ c iː h
cíocha	ˈ c iː h ə
cíochbheart	ˈ c iː h ˈ vʲ a ɾˠ t̪ˠ
cíocrach	ˈ c iː k ɾˠ a h
cíocras	ˈ c iː k ɾˠ ə sˠ
ciogal	ˈ c i ɡ ə l̻ˠ
cion	ˈ c i n̻ˠ
cionn	ˈ c i n̻ˠ
ciontach	ˈ c i n̻ˠ t̪ˠ a h
ciontóir	ˈ c i n̻ˠ t̪ˠ o ɾʲ
cíor	ˈ c iː ɾˠ
ciorcad	ˈ c i ɾˠ k ə d̪ˠ
ciorcal	ˈ c i ɾˠ k ə l̻ˠ
ciorclach	ˈ c i ɾˠ k l̻ˠ a h
ciorclaigh	ˈ c i ɾˠ k l̻ˠ iː
ciorraigh	ˈ c i ɾˠ iː
ciorraithe	ˈ c i ɾˠ ə h ə
ciorrú	ˈ c i ɾˠ uː
cíos	ˈ c iː sˠ
cíosa	ˈ c iː sˠ ə
ciotach	ˈ c i t̪ˠ a h
ciotaí	ˈ c i t̪ˠ iː
ciotóg	ˈ c i t̪ˠ o ɡ
ciotóige	
ciotrúnta	ˈ c i t̪ˠ ɾˠ u n̻ˠ t̪ˠ ə
cipín	ˈ c i pʲ i nʲ
Cipireach	ˈ c i pʲ ə ɾʲ ə h
Cipiris	ˈ c i pʲ ə ɾʲ ə ʃ
Cipirise	ˈ c i pʲ ə ɾʲ ə ʃ ə
circeoil	ˈ c i ɾʲ c o lʲ
circeola	
Cireabaití	ˈ c i ɾʲ ə bˠ ə tʲ iː
círéibe	ˈ c iː ɾʲ eː bʲ ə
círín	ˈ c iː ɾʲ i nʲ
cis	ˈ c i ʃ
ciseal	ˈ c i ʃ ə l̻ˠ
ciseán	ˈ c i ʃ a n̻ˠ
cispheil	ˈ c i ʃ fʲ e lʲ
cispheile	ˈ c i sˠ pʲ h ə lʲ ə
císte	ˈ c iː ʃ tʲ ə
ciste	ˈ c i ʃ tʲ ə
Cistéirseach	ˈ c i ʃ tʲ eː ɾʲ ʃ ə h
cistigh	ˈ c i ʃ tʲ ə
cistin	ˈ c i ʃ tʲ ə nʲ
cistine	ˈ c i ʃ tʲ i nʲ ə
cistiú	ˈ c i ʃ tʲ uː
cistiúchán	ˈ c i ʃ tʲ uː h aː n̻ˠ
cit	ˈ c i tʲ
citeal	ˈ c i tʲ ə l̻ˠ
citealdruma	ˈ c i tʲ ə l̻ˠ d̪ˠ ɾˠ ə mˠ ə
cith	ˈ c i hʲ
cithdhíonach	ˈ c i ˈ j iː n̻ˠ a h
cithfholcadán	ˈ c i ˈ o l̻ˠ k ə d̪ˠ a n̻ˠ
cithfholcadh	ˈ c i hʲ ˈ o l̻ˠ k uː
citreach	ˈ c i tʲ ɾʲ a h
ciú	ˈ c uː
ciúáil	ˈ c uː aː lʲ
ciúb	ˈ c uː bˠ
ciúin	ˈ c uː nʲ
ciumhais	ˈ c uː ʃ
ciumhaismhaisithe	ˈ c u vˠ ə sˠ vˠ ə ʃ ə h ə
ciumhsóg	
ciúnaigh	ˈ c uː n̻ˠ iː
ciúnas	ˈ c uː n̻ˠ ə sˠ
clabhsúr	ˈ k l̻ˠ au sˠ u ɾˠ
clabhta	ˈ k l̻ˠ au t̪ˠ ə
cladach	ˈ k l̻ˠ a d̪ˠ a h
cladhaire	ˈ k l̻ˠ eː ɾʲ ə
cladhartha	ˈ k l̻ˠ eː ɾˠ h ə
claí	ˈ k l̻ˠ iː
claibín	ˈ k l̻ˠ a bʲ i nʲ
claífort	ˈ k l̻ˠ iː fˠ a ɾˠ t̪ˠ
clainne	ˈ k l̻ˠ a n̻ʲ ə
claíomh	ˈ k l̻ˠ iː vˠ
cláir	ˈ k l̻ˠ aː ɾʲ
clairnéid	ˈ k l̻ˠ a ɾʲ nʲ eː dʲ
clairnéide	ˈ k l̻ˠ a ɾʲ nʲ eː dʲ ə
cláirseach	ˈ k l̻ˠ aː ɾˠ ʃ a h
cláirsí	ˈ k l̻ˠ aː ɾʲ ʃ iː
clais	ˈ k l̻ˠ a ʃ
clamhán	ˈ k l̻ˠ au a n̻ˠ
clamhsán	ˈ k l̻ˠ au sˠ a n̻ˠ
clampa	ˈ k l̻ˠ a mˠ pˠ ə
clampar	ˈ k l̻ˠ a mˠ pˠ ə ɾˠ
clann	ˈ k l̻ˠ a n̻ˠ
claochlaigh	ˈ k l̻ˠ iː l̻̊ˠ iː
claochlaithe	ˈ k l̻ˠ iː h l̻ˠ ə h ə
claochlaitheach	ˈ k l̻ˠ iː h l̻ˠ ə h ə h
claon	ˈ k l̻ˠ iː n̻ˠ
claonadh	ˈ k l̻ˠ iː n̻ˠ uː
claonán	ˈ k l̻ˠ iː n̻ˠ aː n̻ˠ
claonbheart	ˈ k l̻ˠ iː n̻ˠ ˈ vʲ a ɾˠ t̪ˠ
claonta	ˈ k l̻ˠ iː n̻ˠ t̪ˠ ə
claontacht	ˈ k l̻ˠ iː n̻ˠ t̪ˠ a x t̪ˠ
clapsholas	ˈ k l̻ˠ a pˠ ˈ h o l̻ˠ ə sˠ
clár	ˈ k l̻ˠ aː ɾˠ
Clár	ˈ k l̻ˠ aː ɾˠ
cláraigh	ˈ k l̻ˠ aː ɾˠ iː
cláraithe	ˈ k l̻ˠ aː ɾˠ ə h ə
cláraitheoir	ˈ k l̻ˠ aː ɾˠ i hʲ o ɾʲ
cláreagrú	ˈ k l̻ˠ aː ɾʲ ə ɡ ɾˠ uː
clárlann	ˈ k l̻ˠ aː ɾˠ l̻ˠ ə n̻ˠ
clárphláta	ˈ k l̻ˠ aː ɾˠ fˠ l̻ˠ aː t̪ˠ ə
clárscátáil	ˈ k l̻ˠ aː ɾˠ sˠ k aː t̪ˠ aː lʲ
clársceidealú	ˈ k l̻ˠ aː ɾʲ ʃ c ə dʲ ə l̻ˠ uː
clasaic	ˈ k l̻ˠ a sˠ ə c
clasaiceach	ˈ k l̻ˠ a sˠ ə c a h
clasaicí	ˈ k l̻ˠ a sˠ ə c iː
clasaicíoch	ˈ k l̻ˠ a sˠ ə c iˑə h
clásal	ˈ k l̻ˠ aː sˠ ə l̻ˠ
clasán	ˈ k l̻ˠ a sˠ aː n̻ˠ
clascairt	ˈ k l̻ˠ a sˠ k ə ɾˠ tʲ
claspa	ˈ k l̻ˠ a sˠ pˠ ə
clé	ˈ c lʲ eː
cleacht	ˈ c lʲ a x t̪ˠ
cleachtadh	ˈ c lʲ a x t̪ˠ uː
cleachtas	ˈ c lʲ a x t̪ˠ ə sˠ
cleachtóir	ˈ c lʲ a x t̪ˠ o ɾʲ
cleamhnacht	ˈ c lʲ au n̻ˠ ə ɾˠ t̪ˠ
cleamhnais	ˈ c lʲ au n̻ˠ ə ʃ
cleamhnas	ˈ c lʲ au n̻ˠ ə sˠ
cleamhnú	ˈ c lʲ au n̻ˠ uː
cleas	ˈ c lʲ a sˠ
cleasach	ˈ c lʲ a sˠ a h
cleasaíocht	ˈ c lʲ a sˠ iː a x t̪ˠ
cléchliceáil	ˈ c lʲ eː ç lʲ ə c aː lʲ
cléibh	ˈ c lʲ eː vʲ
cleipteamáine	ˈ c lʲ e pʲ tʲ ə mˠ a nʲ ə
cleipteamáineach	ˈ c lʲ e pʲ tʲ ə mˠ a nʲ a h
cléir	ˈ c lʲ eː ɾʲ
cléireach	ˈ c lʲ eː ɾʲ a h
cléireachais	ˈ c lʲ eː ˈ ɾʲ a h ə ʃ
cléiriúil	ˈ c lʲ eː ɾʲ u lʲ
cleiteán	ˈ c lʲ e tʲ a n̻ˠ
cleiteog	
cleith	ˈ c lʲ ai hʲ
cléithín	ˈ c lʲ eː hʲ i nʲ
cleithiúnaí	ˈ c lʲ ai hʲ u n̻ˠ iː
cliabh	ˈ c lʲ ia vˠ
cliabhán	ˈ c lʲ ia vˠ a n̻ˠ
cliabhrach	ˈ c lʲ ia vˠ ɾˠ a h
cliaint	ˈ c lʲ iˑə nʲ tʲ
cliant	ˈ c lʲ ia n̻ˠ t̪ˠ
cliantacht	ˈ c lʲ ia n̻ˠ t̪ˠ a x t̪ˠ
cliath	ˈ c lʲ ia
cliathán	ˈ c lʲ ia h a n̻ˠ
cliathánach	ˈ c lʲ ia h a n̻ˠ a h
cliathánaí	ˈ c lʲ iˑə h aː n̻ˠ iː
clib	ˈ c lʲ i bʲ
clibeáil	ˈ c lʲ i bʲ aː lʲ
clibeáilte	ˈ c lʲ i bʲ aː lʲ tʲ ə
clibín	ˈ c lʲ i bʲ iː nʲ
clic	ˈ c lʲ i c
cliceáil	ˈ c lʲ i c aː lʲ
clicire	ˈ c lʲ i c ə ɾʲ ə
cling	ˈ c lʲ i ɲ
clinic	ˈ c lʲ i nʲ ə c
cliniceoir	
clis	ˈ c lʲ i ʃ
cliseadh	ˈ c lʲ i ʃ uː
cliste	ˈ c lʲ i ʃ tʲ ə
clisteacht	ˈ c lʲ i ʃ tʲ a x t̪ˠ
cló	ˈ k l̻ˠ oː
cló-aghaidh	ˈ k l̻ˠ oː ˈ ai
clóbhuail	ˈ k l̻ˠ oː vˠ ua lʲ
clóbhuailte	ˈ k l̻ˠ oː ˈ vˠ ua lʲ tʲ ə
cloch	ˈ k l̻ˠ a h
clocha	ˈ k l̻ˠ a h ə
clochar	ˈ k l̻ˠ a h ə ɾˠ
clóchuir	ˈ k l̻ˠ oː ˈ x u ɾʲ
clódóir	ˈ k l̻ˠ oː d̪ˠ o ɾʲ
clódóireachta	ˈ k l̻ˠ oː ˈ d̪ˠ oː ˈ i ɾʲ ə ɾˠ t̪ˠ ə
clófhoireann	ˈ k l̻ˠ oː ˈ o ɾʲ ə n̻ˠ
clog	ˈ k l̻ˠ o ɡ
clogad	ˈ k l̻ˠ o ɡ ə d̪ˠ
cloiche	ˈ k l̻ˠ o ç ə
cloicheán	ˈ k l̻ˠ o hʲ a n̻ˠ
cloigeann	ˈ k l̻ˠ o ɟ ə n̻ˠ
cloígh	ˈ k l̻ˠ iː j
clóigh	ˈ k l̻ˠ oː j
cloigín	ˈ k l̻ˠ o ɟ i nʲ
cloiginn	ˈ k l̻ˠ o ɟ ə n̻ʲ
clóiríd	ˈ k l̻ˠ oː ɾʲ i dʲ
clóis	ˈ k l̻ˠ oː ˈ i sˠ
clois	ˈ k l̻ˠ o ʃ
cloíte	ˈ k l̻ˠ iː tʲ ə
clóite	ˈ k l̻ˠ oː ˈ i tʲ ə
cloíteacht	ˈ k l̻ˠ iː tʲ a x t̪ˠ
clós	ˈ k l̻ˠ oː sˠ
clóscríobh	ˈ k l̻ˠ oː ʃ c ɾʲ i vˠ
clóscríofa	ˈ k l̻ˠ oː ˈ ʃ c ɾʲ iː fˠ ə
clostreoir	
clú	ˈ k l̻ˠ uː
cluain	ˈ k l̻ˠ ua nʲ
cluaise	ˈ k l̻ˠ uˑə ʃ ə
cluanach	ˈ k l̻ˠ ua n̻ˠ a h
cluanaireacht	ˈ k l̻ˠ ua n̻ˠ ə ɾʲ a x t̪ˠ
cluas	ˈ k l̻ˠ ua sˠ
cluasáin	ˈ k l̻ˠ uˑə sˠ aː nʲ
club	ˈ k l̻ˠ o bˠ
clubtheach	ˈ k l̻ˠ u bˠ ˈ hʲ a h
clúdach	ˈ k l̻ˠ uː d̪ˠ a h
clúdaigh	ˈ k l̻ˠ uː d̪ˠ iː
clúdaithe	ˈ k l̻ˠ uː d̪ˠ ə h ə
cluiche	ˈ k l̻ˠ i hʲ ə
cluicheoir	
cluichí	ˈ k l̻ˠ i hʲ i
clúimh	ˈ k l̻ˠ uː vʲ
cluimhreach	ˈ k l̻ˠ i vʲ ɾʲ a h
cluimhrigh	ˈ k l̻ˠ i vʲ ɾʲ iː
cluimhriú	ˈ k l̻ˠ i vʲ ɾʲ uː
cluin	ˈ k l̻ˠ i nʲ
clúiteach	ˈ k l̻ˠ uː tʲ a h
clúmh	ˈ k l̻ˠ uː vˠ
clúmhach	ˈ k l̻ˠ uː vˠ a h
cnag	ˈ k ɾˠ a ɡ
cnagaire	ˈ k ɾˠ a ɡ ə ɾʲ ə
cnagarnach	ˈ k ɾˠ a ɡ ə ɾˠ n̻ˠ a h
cnagchócaon	
cnagmhaisigh	ˈ k ɾˠ a ɡ vˠ ə ʃ ə
cnagmhaisithe	ˈ k ɾˠ a ɡ vˠ ə ʃ ə h ə
cnaguirlisí	ˈ k ɾˠ a ɡ ə ɾʲ lʲ ə ʃ iː
cnáib	ˈ k ɾˠ aː bʲ
cnáibín	ˈ k ɾˠ aː bʲ iː nʲ
cnaígh	ˈ k ɾˠ iː j
cnáimhseach	ˈ k ɾˠ aː vʲ ʃ a h
cnáimhseáil	ˈ k ɾˠ aː vʲ ʃ a lʲ
cnaipe	ˈ k ɾˠ a pʲ ə
cnámh	ˈ k ɾˠ aː vˠ
cnámharlach	ˈ k ɾˠ aː vˠ ə ɾˠ l̻ˠ a h
cnap	ˈ k ɾˠ a pˠ
cnapán	ˈ k ɾˠ a pˠ a n̻ˠ
cneá	ˈ c ɾʲ aː
cnead	ˈ c ɾʲ a d̪ˠ
cneáigh	ˈ c ɾʲ aː j
cneáite	ˈ c nʲ aː tʲ ə
cneámhaire	ˈ c ɾʲ aː vˠ ə ɾʲ ə
