* 'dh eadh: dhea
* anadhrochmhúinte: an-drochmhúinte
* anamh: annamh
* annsin: ansin 
* anródh: anró
* anáirde: in airde
* anál: anáil
* aodhre: aoire
* aodhreacht: aoireacht
* aodhrí: aoirí
* aoirde: airde
* aonfheacht: éineacht
* aontigheas: aontíos
* aontígheas: aontíos
* aoírde: airde
* aoís: aois
* aragóint: argóint
* ard-ríogh: ardrí
* arduighthe: ardaithe
* arsaigh: arsa
* asta: astu
* ath-fhilleadh: athfhilleadh
* atharach: athrach
* atharughadh: athrú
* atharuighthe: athraithe
* athghairmtear: athghairtear
* athrughadh: athrú
* athruigh: athraigh
* atúrnae: aturnae
* aér: aer
* aír: air
* a’s: is
* b' fhéidir: b'fhéidir
* b'ainim: b'ainm
* b'aoirde: b'airde
* b'féidir: b'fhéidir
* bPríomh-Stiúrthóir: bPríomhstiúrthóir
* badh: ba
* bailighthe: bailithe
* bailiughadh: bailiú
* bainfar: bainfear
* bainfí: bhainfí
* baintrighe: baintrí
* baintríghe: baintrí
* balcuis: balcais
* ban-phrionsa: banphrionsa
* banríghin: banríon
* baoghal: baol
* baoghalach: baolach
* basgaithe: basctha
* basgfar: bascfar
* beannughadh: beannú
* beannuighthe: beannaithe
* beartughadh: beartú
* beartuighthe: beartaithe
* beathuighthe: beathaithe
* beimíd: beimid
* beirean: beireann
* beithidhigh: beithígh
* beithigheach: beithíoch
* beul: béal
* beó: beo
* bhFrainnc: bhFrainc
* bhFrainncis: bhFraincis
* bhadh: ba
* bhailigheadar: bhailíodar
* bhailiughadh: bhailiú
* bhainean: bhaineann
* bhan-fhlaith: bhanfhlaith
* bhan-phrionsa: bhanphrionsa
* bhanríghin: bhanríon
* bhaoghal: bhaol
* bhasgadh: bhascadh
* bheannuigh: bheannaigh
* bheannuighthe: bheannaithe
* bheartughadh: bheartú
* bheast-chuirp: veistchoirp
* bheatha-sa: bheathasa
* bheimíd: bheimid
* bheirean: bheireann
* bheirim-se: bheirimse
* bheiriughadh: bheiriú
* bheul: bhéal
* bheus: bhéas
* bheó: bheo
* bhfarge: bhfarraige
* bhfeicean: bhfeiceann
* bhfeirmeóir: bhfeirmeoir
* bhfeuchainn: bhféachainn
* bhfeuchfaidh: bhféachfaidh
